Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
s2kTkMRsKYI,Trait Theory of Leadership,"Nov 7, 2022",58,7.5527,1,0.086,0:07:48,1706,1.47
rfxB1kaBLj8,Collaborating with Teams,,57,2.2496,0,,0:02:22,377,1.06
yhGdFNioNZQ,ECON 100 Gamified,,57,4.7461,0,,0:04:59,0,
zISSEoUrOtk,Situational Leadership,"Nov 7, 2022",57,3.0506,0,0.108,0:03:12,1367,1.98
hd8Ve__g17o,Challenges with a Family Business,"Sep 23, 2022",56,6.0271,0,0.364,0:06:27,1691,1.48
oU8z_v40BS8,Indigenous Economies,"Sep 23, 2022",56,3.3398,1,0.326,0:03:34,1836,1.58
RBrjg6zkfnA,Goal 5: Balance of International Trade,"Sep 1, 2019",55,5.007,0,0.153,0:05:27,2262,0.57
9BbvJF6oluw,Elements of Group Behavior,"Nov 7, 2022",54,3.1518,0,0.149,0:03:30,1331,0.75
go3q-JcQ9JY,Porter's Value Chain,"Dec 5, 2022",54,3.9077,2,0.094,0:04:20,2352,1.4
jUXmtkxEi5k,Supply Chain Tech,"Dec 5, 2022",54,2.2435,0,0.13,0:02:29,2006,1.4
J1Q3hm_Gn-s,Herzberg Two Factor Theory and Hackman Oldham Job Characteristic Model,"Oct 28, 2022",53,4.3034,1,0.565,0:04:52,1200,0.75
3BdEwGePtUo,Goal 4: Stable Prices,"Sep 1, 2019",52,7.3339,0,0.107,0:08:27,2642,0.61
nfUbGUFn4og,Total Product Strategy,"Dec 3, 2022",50,4.513,0,0.11,0:05:24,2179,0.96
uli8tr86gM8,Indigenous Business,"Sep 23, 2022",50,4.236,0,0.168,0:05:04,1483,1.01
YW-MoUxVdqs,CRM,"Dec 4, 2022",48,2.5016,1,0.058,0:03:07,2277,0.92
ICUWLA01L4c,Creativity of an Entrepreneur,"Sep 23, 2022",47,2.6981,0,0.098,0:03:26,1509,0.66
K_3VSzGxR38,Diverse and Inclusive Workplace,"Nov 14, 2022",46,2.4871,0,0.051,0:03:14,1794,1.34
oZbdtnatO80,Starting a Business,"Sep 23, 2022",46,8.2435,0,0.107,0:10:45,1356,0.66
pYeKZXAAQV0,Goal 7: Manageable Debt and Deficit,"Sep 1, 2019",46,5.4551,0,0.034,0:07:06,2310,0.26
U7zmfod9oG4,Ways to Go Global,"Dec 5, 2022",45,2.2787,1,0.26,0:03:02,3334,0.51
hn2JT9dwAgI,Debt,"Nov 20, 2019",44,5.1421,1,0.316,0:07:00,3134,0.41
-98aUwwe_60,Are the 4Ps Outdated,"Dec 3, 2022",43,1.5199,1,0.086,0:02:07,1447,1.17
7d7p_wtjQdc,Scientific View of Management (Taylorism),"Oct 21, 2022",43,4.5184,0,0.117,0:06:18,1247,0.8
w9G5IvkktwM,Start Buy or Franchise,"Sep 23, 2022",43,2.9208,0,0.025,0:04:04,1468,1.02
uXZJ7uSvLrc,Gamification of MGMT,,42,3.004,0,,0:04:17,0,
BPAA2yAEzcM,Tuckman's Stages of Group Development,"Nov 14, 2022",41,1.6543,0,0.115,0:02:25,1334,1.65
nwrXSLfL6Bw,Porters 5 Forces,"Nov 14, 2022",41,1.5866,0,0.073,0:02:19,1516,0.86
EnNxhdDkK2E,Collaborating with Google,,40,0.8708,0,,0:01:18,639,0.47
SIH_JfR9eVM,Team Conflict,"Nov 7, 2022",40,3.2849,0,0.362,0:04:55,1320,1.21
ehGiGOETUMs,Product Design,"Dec 3, 2022",39,2.0156,0,0.071,0:03:06,2009,0.8
vL18ZhldEos,Creativity and Innovation,"Nov 14, 2022",39,1.2528,0,0.148,0:01:55,1165,0.69
Showing top 500 results
